Name	Primary Affiliation
Goncalo Lopes	NeuroGears
Filipe Carvalho	NeuroGears
Tom Mrsic-Flogel	SWC Group Leaders
Tiago Branco	SWC Group Leaders
Troy Margrie	SWC Group Leaders
Dario Campagner	SWC Researchers
Jai Bhagat	SWC Researchers
Simon Townsend	SWC FabLab
Del Halpin	SWC FabLab
Robb Barrett	SWC FabLab
Martyn Stopps	SWC Research & Innovation
Sean Hammett	SWC Research & Innovation
Graeme McPhillips	SWC Research & Innovation
Rob Campbell	SWC Researchers
Adam Tyson	SWC Researchers
David Navalho	NeuroGears
John Pelan	SWC Scientific Computing
Burhan Mahmood	SWC Scientific Computing
Alex Martin	SWC Scientific Computing
Shan Shen	Datajoint
Dimitri Yatsenko	Datajoint
Thinh Nguyen	Datajoint
Raphael Gusman	Datajoint
Chris Turner	Datajoint
Glynis Mathiesen	SWC Researchers
Andre Almeida	NeuroGears
Joaquin Rapela	SWC Researchers
Jeff Erlich	SWC Group Leaders
Jon Steel	SWC Scientific Computing
Joseph Burling	NeuroGears
Athena Akrami	SWC Group Leaders
Maneesh Sahani	SWC Group Leaders
John O'Keefe	SWC Group Leaders
Tim Behrens	
Ann Duan	SWC Group Leaders
Neil Burgess	SWC Group Leaders
Sonja Hofer	SWC Group Leaders
Yoh Isogai	SWC Group Leaders
Peter Latham	SWC Group Leaders
Tom Otis	
Andrew Saxe	SWC Group Leaders
Marcus Stephenson-Jones	SWC Group Leaders
